Number of features, Features, Mean Accuracy, Std Accuracy
1,0,0.394530414792,0.018222670471
1,1,0.394530414792,0.018222670471
1,2,0.360583959566,0.0649165023475
1,3,0.390826711088,0.0189772858632
1,4,0.394530414792,0.018222670471
1,5,0.399141401177,0.0649228494416
1,6,0.394530414792,0.018222670471
1,7,0.34847392051,0.0544225176006
1,8,0.394530414792,0.018222670471
1,9,0.394530414792,0.018222670471
1,10,0.343277978562,0.0939472987986
1,11,0.381434662853,0.0847367676084
1,12,0.368914605972,0.0727245848366
1,13,0.345140587176,0.0618822618889
1,14,0.394530414792,0.018222670471
1,15,0.366949047533,0.0689367833237
1,16,0.394530414792,0.018222670471
1,17,0.375541156615,0.04315098279
1,18,0.368600418862,0.0736756767505
1,19,0.39093641558,0.086620340154
1,20,0.361199256805,0.0806929093163
1,21,0.363102893687,0.0710308332854
1,22,0.394530414792,0.018222670471
1,23,0.347199096993,0.0497257549859
1,24,0.394530414792,0.018222670471
1,25,0.39439813966,0.0266769301717
1,26,0.347199096993,0.0497257549859
1,27,0.323499064895,0.0434277277557
1,28,0.390826711088,0.0189772858632
1,29,0.394530414792,0.018222670471
1,30,0.394530414792,0.018222670471
1,31,0.394530414792,0.018222670471
1,32,0.394530414792,0.018222670471
1,33,0.394530414792,0.018222670471
2,0+1,0.394530414792,0.018222670471
2,0+2,0.394530414792,0.018222670471
2,0+3,0.394530414792,0.018222670471
2,0+4,0.394530414792,0.018222670471
2,0+5,0.394530414792,0.018222670471
2,0+6,0.391197081458,0.0248560664613
2,0+7,0.394530414792,0.018222670471
2,0+8,0.391197081458,0.0248560664613
2,0+9,0.391197081458,0.0248560664613
2,0+10,0.394530414792,0.018222670471
2,0+11,0.394530414792,0.018222670471
2,0+12,0.394530414792,0.018222670471
2,0+13,0.394530414792,0.018222670471
2,0+14,0.391197081458,0.0248560664613
2,0+15,0.394530414792,0.018222670471
2,0+16,0.391197081458,0.0248560664613
2,0+17,0.394530414792,0.018222670471
2,0+18,0.391197081458,0.0248560664613
2,0+19,0.394530414792,0.018222670471
2,0+20,0.394530414792,0.018222670471
2,0+21,0.394530414792,0.018222670471
2,0+22,0.391197081458,0.0248560664613
2,0+23,0.394530414792,0.018222670471
2,0+24,0.391197081458,0.0248560664613
